week_start,week_end,textbooks,spring_break,kayak,skiing,global_warming
2004-01-04,2004-01-10,65,36,17,85,13
2004-01-11,2004-01-17,79,40,18,84,18
2004-01-18,2004-01-24,56,44,18,77,14
2004-01-25,2004-01-31,39,43,18,75,15
2004-02-01,2004-02-07,28,41,16,63,16
2004-02-08,2004-02-14,19,40,19,69,16
2004-02-15,2004-02-21,16,45,20,60,14
2004-02-22,2004-02-28,15,47,21,47,25
2004-02-29,2004-03-06,16,59,23,40,20
2004-03-07,2004-03-13,13,71,24,35,16
2004-03-14,2004-03-20,15,71,28,32,16
2004-03-21,2004-03-27,15,69,29,24,16
2004-03-28,2004-04-03,18,50,29,19,18
2004-04-04,2004-04-10,15,38,33,17,15
2004-04-11,2004-04-17,12,22,30,12,14
2004-04-18,2004-04-24,16,20,35,12,20
2004-04-25,2004-05-01,18,17,34,11,18
2004-05-02,2004-05-08,22,15,36,11,18
2004-05-09,2004-05-15,25,13,36,11,18
2004-05-16,2004-05-22,23,14,37,10,17
2004-05-23,2004-05-29,21,12,41,11,20
2004-05-30,2004-06-05,23,13,45,10,21
2004-06-06,2004-06-12,21,14,43,10,13
2004-06-13,2004-06-19,20,12,46,11,8
2004-06-20,2004-06-26,19,13,45,11,6
2004-06-27,2004-07-03,18,11,48,10,5
2004-07-04,2004-07-10,19,12,52,13,6
2004-07-11,2004-07-17,19,13,51,12,5
2004-07-18,2004-07-24,21,13,48,13,6
2004-07-25,2004-07-31,25,12,47,13,6
2004-08-01,2004-08-07,36,12,47,14,6
2004-08-08,2004-08-14,47,13,44,15,5
2004-08-15,2004-08-21,67,12,45,17,7
2004-08-22,2004-08-28,90,13,42,18,8
2004-08-29,2004-09-04,79,14,40,17,9
2004-09-05,2004-09-11,51,18,36,19,12
2004-09-12,2004-09-18,33,18,31,20,15
2004-09-19,2004-09-25,27,18,26,22,18
2004-09-26,2004-10-02,21,18,24,24,17
2004-10-03,2004-10-09,18,17,22,23,17
2004-10-10,2004-10-16,14,18,20,26,17
2004-10-17,2004-10-23,15,19,18,30,20
2004-10-24,2004-10-30,14,22,16,33,21
2004-10-31,2004-11-06,13,21,16,34,20
2004-11-07,2004-11-13,14,21,16,39,23
2004-11-14,2004-11-20,15,24,16,46,29
2004-11-21,2004-11-27,12,20,18,50,19
2004-11-28,2004-12-04,16,24,17,56,25
2004-12-05,2004-12-11,21,22,16,56,25
2004-12-12,2004-12-18,27,22,17,64,21
2004-12-19,2004-12-25,20,21,18,80,10
2004-12-26,2005-01-01,24,28,19,100,11
2005-01-02,2005-01-08,55,35,18,84,16
2005-01-09,2005-01-15,68,39,19,81,17
2005-01-16,2005-01-22,55,43,19,71,15
2005-01-23,2005-01-29,38,44,18,68,20
2005-01-30,2005-02-05,27,44,19,60,20
2005-02-06,2005-02-12,19,43,21,52,18
2005-02-13,2005-02-19,15,45,21,54,22
2005-02-20,2005-02-26,13,49,22,50,19
2005-02-27,2005-03-05,14,56,23,45,18
2005-03-06,2005-03-12,14,66,26,41,19
2005-03-13,2005-03-19,14,76,26,33,18
2005-03-20,2005-03-26,13,85,29,27,15
2005-03-27,2005-04-02,15,54,30,22,14
2005-04-03,2005-04-09,15,32,30,15,16
2005-04-10,2005-04-16,13,22,33,14,18
2005-04-17,2005-04-23,14,18,32,12,20
2005-04-24,2005-04-30,16,17,32,11,23
2005-05-01,2005-05-07,20,15,32,11,20
2005-05-08,2005-05-14,22,13,34,11,19
2005-05-15,2005-05-21,22,12,37,10,18
2005-05-22,2005-05-28,20,12,41,11,16
2005-05-29,2005-06-04,21,12,46,11,13
2005-06-05,2005-06-11,19,12,45,10,15
2005-06-12,2005-06-18,16,11,45,10,11
2005-06-19,2005-06-25,17,11,49,10,8
2005-06-26,2005-07-02,16,10,51,11,7
2005-07-03,2005-07-09,15,12,49,11,10
2005-07-10,2005-07-16,17,11,47,11,9
2005-07-17,2005-07-23,19,12,46,12,8
2005-07-24,2005-07-30,23,10,47,12,8
2005-07-31,2005-08-06,31,10,46,12,8
2005-08-07,2005-08-13,43,11,43,14,7
2005-08-14,2005-08-20,61,10,40,14,7
2005-08-21,2005-08-27,80,11,38,14,7
2005-08-28,2005-09-03,70,10,33,14,20
2005-09-04,2005-09-10,47,12,33,16,16
