,price,loc,size
2015-08-20 09:08:00,1920,eby,707.0
2015-08-20 09:06:00,1725,eby,
2015-08-20 09:05:00,1895,eby,
2015-08-20 09:05:00,2395,eby,
2015-08-20 09:03:00,1410,eby,642.0
2015-08-20 09:02:00,2950,eby,1100.0
2015-08-20 09:02:00,1545,eby,470.0
2015-08-20 08:57:00,1025,eby,
2015-08-20 08:56:00,2274,eby,720.0
2015-08-20 08:54:00,1795,eby,750.0
2015-08-20 08:53:00,3695,eby,1189.0
2015-08-20 08:53:00,5695,eby,1609.0
2015-08-20 08:53:00,1495,eby,500.0
2015-08-20 08:53:00,1995,eby,771.0
2015-08-20 08:52:00,2950,eby,1100.0
2015-08-20 08:52:00,1349,eby,682.0
2015-08-20 08:52:00,1655,eby,684.0
2015-08-20 08:51:00,2950,eby,1100.0
2015-08-20 08:51:00,3195,eby,1350.0
2015-08-20 08:50:00,4895,eby,2120.0
2015-08-20 08:48:00,4395,eby,1280.0
2015-08-20 08:48:00,2300,eby,3359.0
2015-08-20 08:48:00,3880,eby,2600.0
2015-08-20 08:48:00,2600,eby,
2015-08-20 08:48:00,3500,eby,2500.0
2015-08-20 08:48:00,2100,eby,1000.0
2015-08-20 08:48:00,3975,eby,2500.0
2015-08-20 08:48:00,3100,eby,
2015-08-20 08:48:00,2975,eby,1700.0
2015-08-20 08:47:00,3800,eby,2332.0
2015-08-20 08:45:00,1975,eby,952.0
2015-08-20 08:45:00,4750,eby,2500.0
2015-08-20 08:42:00,2499,eby,1140.0
2015-08-20 08:41:00,2950,eby,1100.0
2015-08-20 08:40:00,2950,eby,1100.0
2015-08-20 08:40:00,4000,eby,2275.0
2015-08-20 08:37:00,2970,eby,1320.0
2015-08-20 08:35:00,2995,eby,
2015-08-20 08:27:00,2500,eby,
2015-08-20 08:27:00,1375,eby,900.0
2015-08-20 08:25:00,2195,eby,1030.0
2015-08-20 08:20:00,2950,eby,1100.0
2015-08-20 08:18:00,6200,eby,
2015-08-20 08:17:00,3330,eby,683.0
2015-08-20 08:14:00,975,eby,
2015-08-20 08:13:00,4900,eby,1650.0
2015-08-20 08:11:00,5500,eby,4400.0
2015-08-20 08:10:00,1150,eby,
2015-08-20 08:10:00,2600,eby,1147.0
2015-08-20 08:10:00,1300,eby,
2015-08-20 08:10:00,995,eby,
2015-08-20 08:09:00,1850,eby,
2015-08-20 08:09:00,1150,eby,
2015-08-20 08:08:00,3000,eby,
2015-08-20 08:07:00,1535,eby,842.0
2015-08-20 08:04:00,2080,eby,2196.0
2015-08-20 08:02:00,1800,eby,1500.0
2015-08-20 08:00:00,1999,eby,750.0
2015-08-20 07:52:00,2800,eby,1140.0
2015-08-20 07:51:00,1900,eby,
2015-08-20 07:46:00,1825,eby,
2015-08-20 07:45:00,2200,eby,1071.0
2015-08-20 07:44:00,550,eby,
2015-08-20 07:21:00,2200,eby,875.0
2015-08-20 07:18:00,2295,eby,1822.0
2015-08-20 07:12:00,2400,eby,
2015-08-20 07:11:00,6250,eby,4300.0
2015-08-20 07:11:00,3900,eby,1748.0
2015-08-20 07:11:00,3400,eby,1857.0
2015-08-20 07:11:00,4800,eby,2100.0
